order_id,product,category,price,quantity,date
1000,Coffee Mug,Lifestyle,7.99,1,2023-12-01
1001,Water Bottle,Lifestyle,9.99,1,2023-12-31
1002,Notebook,Stationery,3.49,200,2023-12-24
1003,Notebook,Stationery,3.49,4,2023-12-08
1004,Coffee Mug,Lifestyle,7.99,3,2023-12-20
1005,Headphones,Electronics,59.99,3,2023-12-08
1006,Phone Case,Electronics,15.99,5,2023-12-10
1007,Pen Set,Stationery,5.99,1,2023-12-14
1008,Water Bottle,Lifestyle,9.99,3,2023-12-25
1009,Water Bottle,Lifestyle,9.99,3,2023-12-17
1010,Coffee Mug,Lifestyle,7.99,1,2023-12-11
1011,Notebook,Stationery,3.49,369,2023-12-18
1012,Desk Lamp,Home,19.99,2,2023-12-04
1013,Headphones,Electronics,59.99,1,2023-12-24
1014,Wireless Mouse,Electronics,25.99,5,2023-12-27
1015,Notebook,Stationery,3.49,3,2023-12-18
1016,Pen Set,Stationery,5.99,2,2023-12-21
1017,Wireless Mouse,Electronics,25.99,2,2023-12-29
1018,Yoga Mat,Lifestyle,29.99,3,2023-12-03
1019,Phone Case,Electronics,15.99,3,2023-12-01
1020,Desk Lamp,Home,19.99,4,2023-12-19
1021,Notebook,Stationery,3.49,4,2023-12-08
1022,Desk Lamp,Home,19.99,1,2023-12-16
1023,Headphones,Electronics,59.99,4,2023-12-18
1024,Notebook,Stationery,3.49,5,2023-12-09
1025,Yoga Mat,Lifestyle,29.99,3,2023-12-31
1026,Water Bottle,Lifestyle,9.99,2,2023-12-17
1027,Coffee Mug,Lifestyle,7.99,1,2023-12-01
1028,Notebook,Stationery,3.49,1,2023-12-06
1029,Water Bottle,Lifestyle,9.99,599,2023-12-10
1030,USB Cable,Electronics,4.99,4,2023-12-02
1031,Notebook,Stationery,3.49,3,2023-12-18
1032,Notebook,Stationery,3.49,3,2023-12-03
1033,Wireless Mouse,Electronics,25.99,3,2023-12-13
1034,Water Bottle,Lifestyle,9.99,3,2023-12-13
1035,Headphones,Electronics,59.99,1,2023-12-12
1036,Wireless Mouse,Electronics,25.99,377,2023-12-13
1037,Notebook,Stationery,3.49,4,2023-12-24
1038,Pen Set,Stationery,5.99,4,2023-12-01
1039,Phone Case,Electronics,15.99,1,2023-12-24
1040,USB Cable,Electronics,4.99,3,2023-12-28
1041,Coffee Mug,Lifestyle,7.99,1,2023-12-30
1042,Pen Set,Stationery,5.99,1,2023-12-27
1043,Phone Case,Electronics,15.99,4,2023-12-15
1044,Pen Set,Stationery,5.99,4,2023-12-25
1045,Yoga Mat,Lifestyle,29.99,5,2023-12-06
1046,Water Bottle,Lifestyle,9.99,2,2023-12-17
1047,Phone Case,Electronics,15.99,3,2023-12-17
1048,Headphones,Electronics,59.99,2,2023-12-11
1049,Coffee Mug,Lifestyle,7.99,1,2023-12-31
1050,Wireless Mouse,Electronics,25.99,1,2023-12-22
1051,Wireless Mouse,Electronics,25.99,4,2023-12-04
1052,Headphones,Electronics,59.99,5,2023-12-11
1053,Phone Case,Electronics,15.99,5,2023-12-20
1054,Yoga Mat,Lifestyle,29.99,5,2023-12-17
1055,Pen Set,Stationery,5.99,1,2023-12-29
1056,Pen Set,Stationery,5.99,1,2023-12-21
1057,USB Cable,Electronics,4.99,5,2023-12-25
1058,Coffee Mug,Lifestyle,7.99,4,2023-12-03
1059,Headphones,Electronics,59.99,2,2023-12-24
1060,Headphones,Electronics,59.99,2,2023-12-01
1061,Notebook,Stationery,3.49,4,2023-12-05
1062,Notebook,Stationery,3.49,3,2023-12-26
1063,Pen Set,Stationery,5.99,3,2023-12-02
1064,USB Cable,Electronics,4.99,4,2023-12-13
1065,Water Bottle,Lifestyle,9.99,5,2023-12-06
1066,Notebook,Stationery,3.49,1,2023-12-22
1067,Phone Case,Electronics,15.99,3,2023-12-15
1068,USB Cable,Electronics,4.99,5,2023-12-29
1069,Yoga Mat,Lifestyle,29.99,3,2023-12-03
1070,USB Cable,Electronics,4.99,2,2023-12-25
1071,Desk Lamp,Home,19.99,5,2023-12-28
1072,Wireless Mouse,Electronics,25.99,5,2023-12-09
1073,USB Cable,Electronics,4.99,3,2023-12-06
1074,Water Bottle,Lifestyle,9.99,5,2023-12-29
1075,Wireless Mouse,Electronics,25.99,5,2023-12-21
1076,Phone Case,Electronics,15.99,3,2023-12-26
1077,Water Bottle,Lifestyle,9.99,1,2023-12-04
1078,Headphones,Electronics,59.99,5,2023-12-30
1079,Yoga Mat,Lifestyle,29.99,4,2023-12-07
1080,Yoga Mat,Lifestyle,29.99,1,2023-12-19
1081,Notebook,Stationery,3.49,5,2023-12-10
1082,USB Cable,Electronics,4.99,3,2023-12-25
1083,Coffee Mug,Lifestyle,7.99,4,2023-12-10
1084,Phone Case,Electronics,15.99,5,2023-12-04
1085,Wireless Mouse,Electronics,25.99,5,2023-12-21
1086,Water Bottle,Lifestyle,9.99,5,2023-12-12
1087,Notebook,Stationery,3.49,4,2023-12-03
1088,Headphones,Electronics,59.99,4,2023-12-09
1089,Coffee Mug,Lifestyle,7.99,3,2023-12-25
1090,Wireless Mouse,Electronics,25.99,4,2023-12-08
1091,Headphones,Electronics,59.99,3,2023-12-05
1092,Phone Case,Electronics,15.99,1,2023-12-06
1093,USB Cable,Electronics,4.99,2,2023-12-21
1094,Pen Set,Stationery,5.99,1,2023-12-21
1095,USB Cable,Electronics,4.99,5,2023-12-03
1096,Headphones,Electronics,59.99,4,2023-12-20
1097,Desk Lamp,Home,19.99,3,2023-12-01
1098,Wireless Mouse,Electronics,25.99,5,2023-12-16
1099,Desk Lamp,Home,19.99,5,2023-12-21
